id,name,species,types,height,weight,abilities,evolutions,facts,site_link,img_link
47,Parasect,Mushroom Pokémon,"['Bug', 'Grass']",1.0 m (3′03″),29.5 kg (65.0 lbs),"['Effect Spore', 'Dry Skin', 'Damp']","['Paras', 'Parasect']",A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,https://pokemondb.net/pokedex/parasect,https://img.pokemondb.net/artwork/parasect.jpg
48,Venonat,Insect Pokémon,"['Bug', 'Poison']",1.0 m (3′03″),30.0 kg (66.1 lbs),"['Compound Eyes', 'Tinted Lens', 'Run Away']","['Venonat', 'Venomoth']",Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,https://pokemondb.net/pokedex/venonat,https://img.pokemondb.net/artwork/venonat.jpg
49,Venomoth,Poison Moth Pokémon,"['Bug', 'Poison']",1.5 m (4′11″),12.5 kg (27.6 lbs),"['Shield Dust', 'Tinted Lens', 'Wonder Skin']","['Venonat', 'Venomoth']",The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.,https://pokemondb.net/pokedex/venomoth,https://img.pokemondb.net/artwork/venomoth.jpg
50,Diglett,Mole Pokémon,['Ground'],0.2 m (0′08″),0.8 kg (1.8 lbs),"['Sand Veil', 'Arena Trap', 'Sand Force']","['Diglett', 'Dugtrio']",Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,https://pokemondb.net/pokedex/diglett,https://img.pokemondb.net/artwork/diglett.jpg
51,Dugtrio,Mole Pokémon,['Ground'],0.7 m (2′04″),33.3 kg (73.4 lbs),"['Sand Veil', 'Arena Trap', 'Sand Force']","['Diglett', 'Dugtrio']",A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,https://pokemondb.net/pokedex/dugtrio,https://img.pokemondb.net/artwork/dugtrio.jpg
52,Meowth,Scratch Cat Pokémon,['Normal'],0.4 m (1′04″),4.2 kg (9.3 lbs),"['Pickup', 'Technician', 'Unnerve']","['Meowth', 'Persian', 'Perrserker']",Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.,https://pokemondb.net/pokedex/meowth,https://img.pokemondb.net/artwork/meowth.jpg
53,Persian,Classy Cat Pokémon,['Normal'],1.0 m (3′03″),32.0 kg (70.5 lbs),"['Limber', 'Technician', 'Unnerve']","['Meowth', 'Persian', 'Perrserker']","Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",https://pokemondb.net/pokedex/persian,https://img.pokemondb.net/artwork/persian.jpg
54,Psyduck,Duck Pokémon,['Water'],0.8 m (2′07″),19.6 kg (43.2 lbs),"['Damp', 'Cloud Nine', 'Swift Swim']","['Psyduck', 'Golduck']","While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers.",https://pokemondb.net/pokedex/psyduck,https://img.pokemondb.net/artwork/psyduck.jpg
55,Golduck,Duck Pokémon,['Water'],1.7 m (5′07″),76.6 kg (168.9 lbs),"['Damp', 'Cloud Nine', 'Swift Swim']","['Psyduck', 'Golduck']","Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",https://pokemondb.net/pokedex/golduck,https://img.pokemondb.net/artwork/golduck.jpg
56,Mankey,Pig Monkey Pokémon,['Fighting'],0.5 m (1′08″),28.0 kg (61.7 lbs),"['Vital Spirit', 'Anger Point', 'Defiant']","['Mankey', 'Primeape', 'Annihilape']",Extremely quick to anger. It could be docile one moment then thrashing away the next instant.,https://pokemondb.net/pokedex/mankey,https://img.pokemondb.net/artwork/mankey.jpg
57,Primeape,Pig Monkey Pokémon,['Fighting'],1.0 m (3′03″),32.0 kg (70.5 lbs),"['Vital Spirit', 'Anger Point', 'Defiant']","['Mankey', 'Primeape', 'Annihilape']",Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.,https://pokemondb.net/pokedex/primeape,https://img.pokemondb.net/artwork/primeape.jpg
58,Growlithe,Puppy Pokémon,['Fire'],0.7 m (2′04″),19.0 kg (41.9 lbs),"['Intimidate', 'Flash Fire', 'Justified']","['Growlithe', 'Arcanine']",Very protective of its territory. It will bark and bite to repel intruders from its space.,https://pokemondb.net/pokedex/growlithe,https://img.pokemondb.net/artwork/growlithe.jpg
59,Arcanine,Legendary Pokémon,['Fire'],1.9 m (6′03″),155.0 kg (341.7 lbs),"['Intimidate', 'Flash Fire', 'Justified']","['Growlithe', 'Arcanine']",A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,https://pokemondb.net/pokedex/arcanine,https://img.pokemondb.net/artwork/arcanine.jpg
60,Poliwag,Tadpole Pokémon,['Water'],0.6 m (2′00″),12.4 kg (27.3 lbs),"['Water Absorb', 'Damp', 'Swift Swim']","['Poliwag', 'Poliwhirl', 'Poliwrath', 'Politoed']",Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,https://pokemondb.net/pokedex/poliwag,https://img.pokemondb.net/artwork/poliwag.jpg
61,Poliwhirl,Tadpole Pokémon,['Water'],1.0 m (3′03″),20.0 kg (44.1 lbs),"['Water Absorb', 'Damp', 'Swift Swim']","['Poliwag', 'Poliwhirl', 'Poliwrath', 'Politoed']","Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://pokemondb.net/pokedex/poliwhirl,https://img.pokemondb.net/artwork/poliwhirl.jpg
62,Poliwrath,Tadpole Pokémon,"['Water', 'Fighting']",1.3 m (4′03″),54.0 kg (119.0 lbs),"['Water Absorb', 'Damp', 'Swift Swim']","['Poliwag', 'Poliwhirl', 'Poliwrath', 'Politoed']",An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.,https://pokemondb.net/pokedex/poliwrath,https://img.pokemondb.net/artwork/poliwrath.jpg
63,Abra,Psi Pokémon,['Psychic'],0.9 m (2′11″),19.5 kg (43.0 lbs),"['Synchronize', 'Inner Focus', 'Magic Guard']","['Abra', 'Kadabra', 'Alakazam']","Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",https://pokemondb.net/pokedex/abra,https://img.pokemondb.net/artwork/abra.jpg
64,Kadabra,Psi Pokémon,['Psychic'],1.3 m (4′03″),56.5 kg (124.6 lbs),"['Synchronize', 'Inner Focus', 'Magic Guard']","['Abra', 'Kadabra', 'Alakazam']",It emits special alpha waves from its body that induce headaches just by being close by.,https://pokemondb.net/pokedex/kadabra,https://img.pokemondb.net/artwork/kadabra.jpg
65,Alakazam,Psi Pokémon,['Psychic'],1.5 m (4′11″),48.0 kg (105.8 lbs),"['Synchronize', 'Inner Focus', 'Magic Guard']","['Abra', 'Kadabra', 'Alakazam']","Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000.",https://pokemondb.net/pokedex/alakazam,https://img.pokemondb.net/artwork/alakazam.jpg
66,Machop,Superpower Pokémon,['Fighting'],0.8 m (2′07″),19.5 kg (43.0 lbs),"['Guts', 'No Guard', 'Steadfast']","['Machop', 'Machoke', 'Machamp']",Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,https://pokemondb.net/pokedex/machop,https://img.pokemondb.net/artwork/machop.jpg
67,Machoke,Superpower Pokémon,['Fighting'],1.5 m (4′11″),70.5 kg (155.4 lbs),"['Guts', 'No Guard', 'Steadfast']","['Machop', 'Machoke', 'Machamp']","Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",https://pokemondb.net/pokedex/machoke,https://img.pokemondb.net/artwork/machoke.jpg
68,Machamp,Superpower Pokémon,['Fighting'],1.6 m (5′03″),130.0 kg (286.6 lbs),"['Guts', 'No Guard', 'Steadfast']","['Machop', 'Machoke', 'Machamp']","Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",https://pokemondb.net/pokedex/machamp,https://img.pokemondb.net/artwork/machamp.jpg
69,Bellsprout,Flower Pokémon,"['Grass', 'Poison']",0.7 m (2′04″),4.0 kg (8.8 lbs),"['Chlorophyll', 'Gluttony']","['Bellsprout', 'Weepinbell', 'Victreebel']",A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture.,https://pokemondb.net/pokedex/bellsprout,https://img.pokemondb.net/artwork/bellsprout.jpg
70,Weepinbell,Flycatcher Pokémon,"['Grass', 'Poison']",1.0 m (3′03″),6.4 kg (14.1 lbs),"['Chlorophyll', 'Gluttony']","['Bellsprout', 'Weepinbell', 'Victreebel']",It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.,https://pokemondb.net/pokedex/weepinbell,https://img.pokemondb.net/artwork/weepinbell.jpg
71,Victreebel,Flycatcher Pokémon,"['Grass', 'Poison']",1.7 m (5′07″),15.5 kg (34.2 lbs),"['Chlorophyll', 'Gluttony']","['Bellsprout', 'Weepinbell', 'Victreebel']","Said to live in huge colonies deep in jungles, although no one has ever returned from there.",https://pokemondb.net/pokedex/victreebel,https://img.pokemondb.net/artwork/victreebel.jpg
72,Tentacool,Jellyfish Pokémon,"['Water', 'Poison']",0.9 m (2′11″),45.5 kg (100.3 lbs),"['Clear Body', 'Liquid Ooze', 'Rain Dish']","['Tentacool', 'Tentacruel']",Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.,https://pokemondb.net/pokedex/tentacool,https://img.pokemondb.net/artwork/tentacool.jpg
73,Tentacruel,Jellyfish Pokémon,"['Water', 'Poison']",1.6 m (5′03″),55.0 kg (121.3 lbs),"['Clear Body', 'Liquid Ooze', 'Rain Dish']","['Tentacool', 'Tentacruel']","The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.",https://pokemondb.net/pokedex/tentacruel,https://img.pokemondb.net/artwork/tentacruel.jpg
74,Geodude,Rock Pokémon,"['Rock', 'Ground']",0.4 m (1′04″),20.0 kg (44.1 lbs),"['Rock Head', 'Sturdy', 'Sand Veil']","['Geodude', 'Graveler', 'Golem']","Found in fields and mountains. Mistaking them for boulders, people often step or trip on them.",https://pokemondb.net/pokedex/geodude,https://img.pokemondb.net/artwork/geodude.jpg
75,Graveler,Rock Pokémon,"['Rock', 'Ground']",1.0 m (3′03″),105.0 kg (231.5 lbs),"['Rock Head', 'Sturdy', 'Sand Veil']","['Geodude', 'Graveler', 'Golem']",Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.,https://pokemondb.net/pokedex/graveler,https://img.pokemondb.net/artwork/graveler.jpg
76,Golem,Megaton Pokémon,"['Rock', 'Ground']",1.4 m (4′07″),300.0 kg (661.4 lbs),"['Rock Head', 'Sturdy', 'Sand Veil']","['Geodude', 'Graveler', 'Golem']",Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.,https://pokemondb.net/pokedex/golem,https://img.pokemondb.net/artwork/golem.jpg
77,Ponyta,Fire Horse Pokémon,['Fire'],1.0 m (3′03″),30.0 kg (66.1 lbs),"['Run Away', 'Flash Fire', 'Flame Body']","['Ponyta', 'Rapidash']",Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.,https://pokemondb.net/pokedex/ponyta,https://img.pokemondb.net/artwork/ponyta.jpg
78,Rapidash,Fire Horse Pokémon,['Fire'],1.7 m (5′07″),95.0 kg (209.4 lbs),"['Run Away', 'Flash Fire', 'Flame Body']","['Ponyta', 'Rapidash']","Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",https://pokemondb.net/pokedex/rapidash,https://img.pokemondb.net/artwork/rapidash.jpg
79,Slowpoke,Dopey Pokémon,"['Water', 'Psychic']",1.2 m (3′11″),36.0 kg (79.4 lbs),"['Oblivious', 'Own Tempo', 'Regenerator']","['Slowpoke', 'Slowbro', 'Slowking']",Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.,https://pokemondb.net/pokedex/slowpoke,https://img.pokemondb.net/artwork/slowpoke.jpg
